hour,PC1,PC2,PC3,PC4
0,-0.07901216774732842,0.07037600850234943,0.05779941371011342,-0.005635169956568154
1,-0.16365708908767745,0.06897783487747332,0.0627557066239264,-0.004405476225747078
2,-0.22125948537310805,0.08285631715867643,0.058235541538905096,-0.010892613020124944
3,-0.27137672667248863,0.07206419304381088,0.05455886421796286,-0.01948961485549093
4,-0.3178450377014841,0.08209752979579923,0.04966327494962808,-0.017749964353358745
5,-0.3649445301846452,0.09312934861583298,0.037686602277065925,-0.024242817524485337
6,-0.41721590146426213,0.08730792839356143,0.04193013945781417,-0.02169645515713041
7,-0.3963177481306993,0.07658515835445237,0.04606068921977546,-0.021073069039452563
8,-0.438319465117667,0.0753877883916979,0.03929329546498235,-0.023090581624354015
9,-0.3403782736999823,0.02563497963383639,-0.009903629615401291,-0.017998401011527047
10,-0.18206826062676135,-0.030583438560529547,-0.03715189738409534,0.005084305037895334
11,-0.050476503461380946,-0.07849458048645679,-0.06865469169466269,0.009304086426074968
12,0.1573753340390104,-0.08177653249055487,-0.08674083682418043,0.007510947234991417
13,0.3559396020882671,-0.09414835607358987,-0.09336680763983131,0.012179106018416642
14,0.42569862596889363,-0.0937381741275783,-0.09006770997264073,0.009528569379994306
15,0.4690962136720865,-0.08986216777860656,-0.08863922770526297,0.011756612771467037
16,0.5376030702759609,-0.08344532464837033,-0.08516217112456483,0.009403267195430552
17,0.5606685754026531,-0.0788247114234989,-0.07764803404235476,0.011117152662909193
18,0.514305092210596,-0.06405314882623059,-0.05189151851074483,0.01654077934563765
19,0.3535281710317056,-0.03769522762535152,-0.007078309754912233,0.024752914467086405
20,0.10897214375001686,-0.03648681992730055,0.03834524128248819,0.030081505803868366
21,-0.06699043430488538,-0.03585794521510055,0.07280355882571982,0.01923490154525677
22,-0.10168902088977738,0.015159124647646306,0.0771517166232728,0.00483306449376207
23,-0.07192823926099624,0.05543493644935693,0.060033298082557765,-0.005064898854972183
