IMF,Variable1,Variable2,Pearson_Correlation,Pearson_P_Value,Spearman_Correlation,Spearman_P_Value
1,obs_wind_speed_10m,obs_wind_speed_70m,0.1130367899194799,2.525932583179498e-148,0.07661456382716082,6.015575871273729e-69
1,obs_wind_speed_10m,power,0.12608421063669967,2.4954830398282104e-184,0.10617877560748837,5.199055829426528e-131
1,obs_wind_speed_70m,power,0.11577756242479756,1.4905153726539634e-155,0.10518640770123487,1.348025354708141e-128
2,obs_wind_speed_10m,obs_wind_speed_70m,0.522812620401652,0.0,0.39852560333049003,0.0
2,obs_wind_speed_10m,power,0.32060338928112325,0.0,0.28524721179877305,0.0
2,obs_wind_speed_70m,power,0.31358163478719847,0.0,0.2789092864470055,0.0
3,obs_wind_speed_10m,obs_wind_speed_70m,0.7592735427587493,0.0,0.704468238124145,0.0
3,obs_wind_speed_10m,power,0.48216800292692624,0.0,0.45789387409262283,0.0
3,obs_wind_speed_70m,power,0.47640233836657064,0.0,0.45170525415133966,0.0
4,obs_wind_speed_10m,obs_wind_speed_70m,0.8454670294901564,0.0,0.8181369456696834,0.0
4,obs_wind_speed_10m,power,0.6719763068231032,0.0,0.6569672759800347,0.0
4,obs_wind_speed_70m,power,0.6636515064254032,0.0,0.6507267644893365,0.0
5,obs_wind_speed_10m,obs_wind_speed_70m,0.8684790724505987,0.0,0.8649778196939565,0.0
5,obs_wind_speed_10m,power,0.8060198003164257,0.0,0.7889933158028037,0.0
5,obs_wind_speed_70m,power,0.7857659152690445,0.0,0.7714870511756716,0.0
6,obs_wind_speed_10m,obs_wind_speed_70m,0.8089261875661605,0.0,0.8182758705618925,0.0
6,obs_wind_speed_10m,power,0.8024253683450623,0.0,0.8164314020293546,0.0
6,obs_wind_speed_70m,power,0.7404176249471296,0.0,0.7485741126065977,0.0
7,obs_wind_speed_10m,obs_wind_speed_70m,0.7744295023081276,0.0,0.8133886124311088,0.0
7,obs_wind_speed_10m,power,0.7896801969385081,0.0,0.8167302340039746,0.0
7,obs_wind_speed_70m,power,0.749940400620219,0.0,0.7449272262985845,0.0
8,obs_wind_speed_10m,obs_wind_speed_70m,0.6867068109954289,0.0,0.7078810659195333,0.0
8,obs_wind_speed_10m,power,0.6559044145307025,0.0,0.696761095374066,0.0
8,obs_wind_speed_70m,power,0.592702905239882,0.0,0.6440692940918847,0.0
9,obs_wind_speed_10m,obs_wind_speed_70m,0.8091360786942535,0.0,0.7743704532123405,0.0
9,obs_wind_speed_10m,power,0.6951632505725648,0.0,0.7419616052142783,0.0
9,obs_wind_speed_70m,power,0.5873007513692925,0.0,0.6363113897362599,0.0
10,obs_wind_speed_10m,obs_wind_speed_70m,0.8744301120405026,0.0,0.7771761709829651,0.0
10,obs_wind_speed_10m,power,0.6548565118115067,0.0,0.6101966259969809,0.0
10,obs_wind_speed_70m,power,0.7754785249642301,0.0,0.7148250093576839,0.0
11,obs_wind_speed_10m,obs_wind_speed_70m,0.9657705023020368,0.0,0.9189370414100706,0.0
11,obs_wind_speed_10m,power,0.7969829294783018,0.0,0.6152028780174883,0.0
11,obs_wind_speed_70m,power,0.8578925858462649,0.0,0.586072536821733,0.0
