feature,weak_day_importance,weak_night_importance,moderate_night_importance,moderate_day_importance,strong_night_importance,strong_day_importance,avg_importance
obs_wind_speed_10m,14.847973078183193,22.74178868790254,24.182804550360153,20.741224952191736,5.796931875424442,2.277192452917938,15.097985932830001
obs_wind_speed_70m,12.998234915197266,11.758802030810646,8.605871063619306,7.490409226100369,5.626421961004313,6.762436972566583,8.873696028216413
obs_temperature_10m,3.4379485050232326,3.2029078520226237,3.4846502572239073,3.396719140011072,4.4166971336167995,2.429185651003501,3.3946847564835227
obs_wind_speed_30m,5.4395110160841345,5.758777579664216,1.275069344699429,2.28638269007328,2.331181137540304,1.4705266684989624,3.093574739426721
obs_wind_speed_50m,2.6386560602496583,0.9441029598541872,0.8100852768321859,1.7328472918823912,2.9058705980498694,0.8629161448516824,1.6490797219533293
obs_wind_dir_sin_50m,0.7434384557865269,1.0940456819782585,1.7765843901159468,1.0099057418869442,2.6374117997220523,1.1109992499916501,1.3953975532468963
obs_wind_dir_cos_50m,1.3915263991495388,2.3839035068120236,0.941188644017252,1.039737386159104,1.3310439979093762,1.0727548918897634,1.360025804322843
obs_wind_dir_cos_10m,1.1622635792694367,0.8497573002712605,0.9257564753961257,1.104668972406713,1.907898265582808,1.4183736058985565,1.2281196998041501
obs_wind_dir_cos_70m,1.300096974881619,1.8674809483969315,0.6674973876772099,0.7010985884563954,0.7681090345188829,1.1179738231065062,1.070376126172924
obs_wind_dir_sin_30m,1.0848285515189613,0.9505974316046445,0.8099323504339629,0.8556084154344817,1.1984362140773102,0.8428031759468644,0.9570343565027041
obs_wind_dir_cos_30m,0.8022259179688785,1.3304733011550798,1.0046005820947566,0.8505280550336333,0.818428338977682,0.8669429053382242,0.9455331834280424
obs_wind_dir_sin_70m,0.7266344037898333,0.844213316832919,1.0888666782124394,1.303344323324801,0.9623926965802855,0.7355407270350206,0.9434986909625498
obs_wind_dir_sin_10m,0.8878456981630858,0.9159974126305589,0.9612799711335954,0.6695585933777808,1.1104940568478858,0.8095163742110244,0.8924486843939885
