error_variable,correlation,abs_correlation,p_value,significance
ec_wind_speed_error_10m,-0.26574413363253047,0.26574413363253047,0.0,***
gfs_wind_speed_error_10m,-0.22533733324643376,0.22533733324643376,0.0,***
ec_temperature_error_10m,-0.14299353288791572,0.14299353288791572,4.994388746481212e-237,***
gfs_temperature_error_10m,-0.13719419884650266,0.13719419884650266,3.5084196873698384e-218,***
ec_wind_speed_error_50m,-0.10698227295291923,0.10698227295291923,5.554165263073128e-133,***
gfs_wind_speed_error_50m,-0.10385384546330044,0.10385384546330044,2.1608125823202714e-125,***
gfs_wind_speed_error_70m,-0.0734085763592557,0.0734085763592557,1.9612046117367813e-63,***
ec_wind_speed_error_70m,-0.07124220350321224,0.07124220350321224,7.656598622430276e-60,***
ec_wind_speed_error_30m,-0.06474191428133365,0.06474191428133365,1.0317146854920276e-49,***
gfs_wind_speed_error_30m,-0.06309698041083031,0.06309698041083031,2.6503505481792857e-47,***
