East_Wind_Features,West_Wind_Features
obs_wind_speed_10m,obs_wind_speed_10m
obs_wind_speed_30m,obs_wind_speed_30m
obs_wind_speed_50m,obs_wind_speed_50m
obs_wind_speed_70m,obs_wind_speed_70m
obs_temperature_10m,obs_temperature_10m
obs_wind_dir_sin_10m,obs_wind_dir_sin_10m
obs_wind_dir_cos_10m,obs_wind_dir_cos_10m
obs_wind_dir_sin_30m,obs_wind_dir_sin_30m
obs_wind_dir_cos_30m,obs_wind_dir_cos_30m
obs_wind_dir_sin_50m,obs_wind_dir_sin_50m
obs_wind_dir_cos_50m,obs_wind_dir_cos_50m
obs_wind_dir_sin_70m,obs_wind_dir_sin_70m
obs_wind_dir_cos_70m,obs_wind_dir_cos_70m
